slang,formal
prtemuan,pertemuan
plaksanaan,pelaksanaan
brharga,berharga
cpat,cepat
anakanak,anak anak
and,dan
anjyyyuran,anjuran
antusiase,antusias
antusiasme,antusias
ass,bokong
asslah,adalah
assupan,asupan
baduta,badut
banggae,bangga
banyakk,banyak
bapake,bapak
basabasi,basa basi
bdoa,berdoa
berhentiin,berhenti
bgaimana,bagaimana
bgnnya,bangunnya
bobo,tidur
cendrawasih,cenderawasih
ckckckckk,heran
des,desa
gaskeun,ayo
dodolllll,bodoh
dooongg,dong
flexibilitas,fleksibilitas
heeehyyh,haduh
imdonesia,indonesia
izinkn,izinkan
kalurahan,kelurahan
kocyaggg,kocak
koentji,kunci
ksempatan,kesempatan
lgkah,langkah
lho,loh
literally,sebenarnya
luv,cinta
malming,malam minggu
manfaatny,manfaatnya
mangkanya,makanya
marrah,marah
mebutuhkan,membutuhkan
meberi,memberi
meanwhile,sedangkan
memastika,memastikan
membuaat,membuat
menegaskn,menegaskan
menghamburkna,menghamburkan
menguatk,kuat
menumnuhkan,menumbuhkan
mkanan,makanan
mmastikan,memastikan
mmbantu,membantu
mmbuktikan,membuktikan
mndapatkan,mendapatkan
mnghadirkan,menghadirkan
mningkatkan,meningkatkan
mnjaga,menjaga
mnjamin,menjamin
mnunjukkan,menunjukkan
morningh,pagi
mostly,kebanyakan
mrancang,merancang
mubadzir,mubazir
munafiq,munafik
mungkn,mungkin
nder,pengirim
ngabisin,habis
omon,omong
omg,ya ampun
pabowo,prabowo
pemberitahunan,pemberitahuan
pemgawasan,penngawasan
perekonimian,perekonomian
plis,tolong
pliss,tolong
pmrth,pemerintah
pmrthan,pemerintahan
police,polisi
prabroro,prabowo
preeet,halah
president,presiden
prioritasin,lebih prioritas
prjalanan,perjalanan
prisidin,presiden
prnyataan,pernyataan
problem,masalah
prodiktifitas,produktivitas
produktifitas,produktivitas
prof,profesor
public,publik
salfok,salah fokus
sbnrnya,sebenarnya
sekolahe,sekolah
sengkapnya,selengkapnya
seupriiit,sedikit
seurgent,gawat
stuntiing,stunting
subiyanto,subianto
sumatra,sumatera
taj,tak
transparency,transparansi
trilyun,triliun
twittet,twitter
walopun,walaupun
wkkwwk,lucu
wkwkkwkw,lucu
wkwkwk,lucu
wkwkwkwkwk,lucu
memonitoring,memantau
warah,walah
presentase,persentase
prabs,prabowo
prabsky,prabowo
aapun,ada pun
agam,agama
alhamdulialah,alhamdulillah
22nya,dua
7an,tujuan
@,di
aaaaaaakkk,ah
aaaaahhhh,ah
aaaammmiiiinnnn,amin
aaahh,ah
aaamiiin,amin
aaamiiinnn,amin
aaamin,amin
aahh,ah
aamien,amien
aamiiiiinnn,amin
aamiiiinnnnn,amin
aamiiin,amin
aamiin,amin
aamiinin,amin
aamiinnn,amin
aamin,amin
"abal""",abal abal
abal2,abal abal
abanggg,abang
abanggku,abangku
abeees,habis
abes,habis
abez,habis
abg,abang
abgnya,abangnya
abgnyaah,abangnya
abiiiiisssss,habis
abiiiss,habis
abis,habis
abis2,habis
abiss,habis
abisss,habis
abiz,habis
abizzz,habis
abizzzz,habis
abs,habis
acc,accord
accord,sesuai
acra,acara
ad,ada
ada2,ada ada
adaa,ada
adain,mengadakan
adapin,menghadapi
add,ada
ade,adek
adeeek,adek
adek2,adek adek
adekx,adeknya
ademm,adem
ademmm,adem
adengan,adegan
adenya,adeknya
adeuh,aduh
adiik,adik
adkah,adakah
adl,adalah
adlah,adalah
adlh,adalah
adoh,aduh
aduhh,aduh
aduhhh,aduh
aduhhhhhhhhh,aduh
aduuh,aduh
aduuhh,aduh
aduuhhh,aduh
aduuhhhh,aduh
aduuuh,aduh
adyem,adem
ae,saja
aee,saja
aelah,alah
aer,air
agama'ny,agamanya
agan2,agan agan
agk,agak
agma,agama
aha,tertawa
ahaha,haha
ahahahanjirrr,anjir
ahh,ah
ahhh,ah
ahhhh,ah
ahiok,ahok
ahokncc,ahok
aing,saya
aj,saja
aja,saja
ajaa,saja
ajaaa,saja
ajaaaaa,aja
ajaaahhhhh,saja
ajah,saja
ajahhh,saja
ajaibb,ajaib
ajaibbbbb,ajaib
ajakin,mengajak
ajarin,ajarkan
aje,saja
ajh,saja
ajha,saja
ajhh,saja
ajibb,ajib
ajj,saja
ajja,saja
ajjh,saja
ak,saya
ak,aku
akau,aku
akhirt,akhirat
akhirx,akhirnya
akhlah,akhlak
akhrt,akhirat
akika,aku
akko,aku
akkoh,aku
akku,aku
akn,akan
akuh,aku
akuhh,aku
akuu,aku
akuuu,aku
akuuuur,akur
akuwh,aku
akyu,aku
ala2,ala ala
alaami,alami
alak,kepala
alamii,alami
alamiii,alami
alay,norak
alhamd,alhamdulillah
alhamdulillaaaaah,alhamdulillah
alissnyaa,alisnya
alkhamdulilah,alhamdulillah
allaahh,allah
allahh,allah
allahhhh,allah
allahhhhhhh,allah
alloh,allah
alm,almarhum
almaidahyg,almaidah
almh,almarhumah
aloh,allah
alow,halo
alu,aku
am,sama
ama,sama
amaattt,amat
amad,amat
amatt,amat
ambilin,mengambil
ambilin,ambilkan
ambl,ambil
ameen,amin
amen,amin
amerik,amarika
amfun,ampun
amiend,amien
amienn,amien
amiennn,amien
amiennnn,amien
amiien,amien
amiiiiiiiiiiiiiiiiin,amin
amiiiiiiiiiiin,amin
amiiiiiiiiiinnnnnnn,amin
amiiiiin,amin
amiiiiinnn,amin
amiiiiinnnnn,amin
amiiiin,amin
amiiin,amin
amiiinn,amin
